City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,tupaciguara,-18.5922,-48.705,29.25,50,87,2.4,BR,1712857048
210,escanaba,45.7453,-87.0646,16.95,51,20,4.63,US,1712857223
211,sitka,57.0531,-135.33,2.94,87,20,0.0,US,1712857224
212,sharlyk,52.9167,54.75,10.29,67,100,4.7,RU,1712857224
213,pamandzi,-12.7967,45.2794,28.88,84,0,2.06,YT,1712857225
214,olonets,60.9847,32.9698,4.52,66,54,7.78,RU,1712857226
215,aksu,41.1231,80.2644,17.49,19,36,2.18,CN,1712857227
216,bantay,17.5847,120.3892,26.94,79,8,3.12,PH,1712857227
217,kitgum,3.2783,32.8867,24.08,69,65,0.62,UG,1712857228
218,tres arroyos,-38.3739,-60.2798,15.28,45,100,3.57,AR,1712857229
219,afaahiti,-17.75,-149.2833,26.93,85,66,7.75,PF,1712857229
220,harrismith,-28.2728,29.1295,8.5,88,53,2.28,ZA,1712857230
221,katabu,-4.9333,122.5167,23.96,96,99,0.49,ID,1712857231
222,harar,9.3094,42.1258,20.95,49,39,0.84,ET,1712857231
223,punta arenas,-53.15,-70.9167,10.06,53,0,7.2,CL,1712857232
224,jeddah,21.5169,39.2192,26.92,47,0,6.17,SA,1712856950
225,darwin,-12.4611,130.8418,24.99,63,78,3.09,AU,1712857125
226,aioun,16.6614,-9.6149,40.68,10,83,4.79,MR,1712857234
227,jamestown,42.097,-79.2353,20.77,74,100,5.36,US,1712857000
228,susice,49.2311,13.5202,13.55,75,3,0.56,CZ,1712857235
229,vereshchagino,58.0789,54.6557,9.24,91,100,6.16,RU,1712857236
230,mukalla,14.5425,49.1242,26.96,69,7,1.07,YE,1712857236
231,seydi,39.4816,62.9137,23.36,26,98,4.1,TM,1712857237
232,horta,38.5333,-28.6333,16.8,91,75,4.47,PT,1712857239
233,portland,45.5234,-122.6762,13.78,73,75,1.34,US,1712856592
234,newman,37.3138,-121.0208,23.9,65,38,1.34,US,1712857240
235,macclenny,30.2822,-82.1221,23.77,87,99,6.69,US,1712856945
236,guerrero negro,27.9769,-114.0611,23.5,39,65,3.69,MX,1712856980
237,winkler,49.1817,-97.941,10.12,57,96,6.17,CA,1712857243
238,broken hill,-31.95,141.4333,12.2,61,2,3.49,AU,1712857062
239,spring creek,40.7266,-115.5859,13.5,44,3,2.72,US,1712857244
240,puerto san jose,13.9256,-90.8244,34.03,49,20,3.09,GT,1712857245
241,kaspiyskiy,45.3929,47.3707,14.17,63,76,3.76,RU,1712857246
242,tommot,58.9564,126.2925,-6.87,95,97,1.26,RU,1712857246
243,port elizabeth,-33.918,25.5701,16.17,80,0,4.12,ZA,1712857247
244,ambatondrazaka,-17.8333,48.4167,22.38,85,82,0.76,MG,1712857248
245,dinajpur,25.6272,88.6386,27.47,29,57,3.5,BD,1712857248
246,paradip garh,20.3167,86.6167,27.71,49,40,1.11,IN,1712857249
247,mutsu,41.2894,141.2169,8.89,64,100,0.54,JP,1712857250
248,golere,16.2557,-14.1017,42.41,10,2,2.84,SN,1712857251
249,chonchi,-42.6128,-73.8092,16.56,45,0,1.21,CL,1712857251
250,aasiaat,68.7098,-52.8699,-4.98,82,100,1.54,GL,1712857252
251,minas de marcona,-15.2119,-75.1103,23.78,54,6,5.82,PE,1712857253
252,yass,-34.8333,148.9167,10.28,96,0,2.87,AU,1712857253
253,murzuq,25.9155,13.9184,26.72,12,26,6.69,LY,1712857254
254,ugoofaaru,5.6667,73.0,29.45,76,21,4.64,MV,1712857255
255,utrik,11.2278,169.8474,26.64,75,97,9.36,MH,1712857255
256,howrah,22.5892,88.3103,30.05,61,40,0.0,IN,1712857256
257,al jawf,29.5,38.75,21.48,31,0,4.34,SA,1712857257
258,rio verde de mato grosso,-18.9181,-54.8442,28.41,74,100,1.77,BR,1712857258
259,iskateley,67.6803,53.1512,1.68,100,100,7.6,RU,1712857258
260,yamada,39.4667,141.95,8.43,86,100,2.91,JP,1712857259
261,taoudenni,22.6783,-3.9836,36.27,9,0,7.44,ML,1712857261
262,whangarei,-35.7317,174.3239,19.16,96,98,1.93,NZ,1712857089
263,cole harbour,44.6724,-63.4751,8.66,68,95,2.68,CA,1712857262
264,prince albert,53.2001,-105.7677,3.97,65,75,4.63,CA,1712857256
265,altai,46.3722,96.2583,0.18,63,67,9.64,MN,1712857263
266,uturoa,-16.7333,-151.4333,28.62,78,46,7.02,PF,1712857264
267,bandundu,-3.3167,17.3667,28.41,63,82,0.67,CD,1712857265
268,katsuura,35.1333,140.3,14.29,81,100,3.5,JP,1712857266
269,richards bay,-28.783,32.0377,20.27,60,20,6.85,ZA,1712857158
270,tindouf,27.6711,-8.1474,35.25,7,0,2.06,DZ,1712857267
271,nemuro,43.3236,145.575,4.06,96,100,7.17,JP,1712857268
272,qalat,32.1058,66.9083,20.09,25,100,2.44,AF,1712857269
273,urangan,-25.3,152.9,17.89,89,6,3.58,AU,1712857048
274,umm as sahik,26.6536,49.9164,27.08,48,63,4.36,SA,1712857270
275,kapa'a,22.0752,-159.319,23.99,92,75,1.54,US,1712857271
276,kruisfontein,-34.0033,24.7314,14.94,72,33,2.29,ZA,1712857271
277,yaransk,57.3033,47.8861,9.42,71,70,5.54,RU,1712857273
278,quang ngai,15.1167,108.8,22.83,92,90,1.87,VN,1712857274
279,sirte,31.2089,16.5887,17.77,78,68,4.23,LY,1712857274
280,tsiombe,-25.3,45.4833,21.71,81,100,2.89,MG,1712857275
281,murashi,59.3999,48.9615,7.42,77,50,6.1,RU,1712857276
282,zabid,14.1951,43.3152,30.51,63,23,2.84,YE,1712857276
283,pervomayskiy,53.2485,40.2871,17.14,80,100,3.2,RU,1712857277
284,pizarro,4.9533,-77.366,28.88,73,71,2.91,CO,1712857278
285,quellon,-43.1167,-73.6167,13.08,54,0,1.69,CL,1712857278
286,hancheng,32.5186,112.3522,12.99,92,20,1.66,CN,1712857279
287,tuma,55.148,40.5537,10.87,73,94,2.29,RU,1712857280
288,sandy point town,17.35,-62.8333,27.15,83,75,8.23,KN,1712857281
289,kerikeri,-35.2268,173.9474,19.39,95,79,1.41,NZ,1712857282
290,urengoy,65.9667,78.3667,-23.48,99,17,4.07,RU,1712857282
291,tura,25.5198,90.2201,25.39,32,100,1.17,IN,1712857283
292,nafplio,37.5683,22.8053,18.08,46,100,2.73,GR,1712857284
293,papatowai,-46.5619,169.4708,7.34,89,100,3.08,NZ,1712857285
294,quatre cocos,-20.2078,57.7625,26.72,87,40,1.89,MU,1712857286
295,san pedro pochutla,15.7333,-96.4667,30.84,45,13,4.1,MX,1712857286
296,umm kaddadah,13.6017,26.6876,28.85,10,68,5.42,SD,1712857287
297,ambon,-3.6954,128.1814,28.26,95,40,1.03,ID,1712857288
298,el granada,37.5027,-122.4694,25.32,73,20,2.06,US,1712857135
299,selfoss,63.9331,-20.9971,5.58,98,100,4.94,IS,1712857289
300,saint-paul,-21.0096,55.2707,27.06,78,81,2.86,RE,1712857290
301,nyrob,60.733,56.7202,6.61,92,100,4.41,RU,1712857290
302,yarkovo,57.4028,67.0786,0.22,71,75,3.48,RU,1712857291
303,saint-philippe,-21.3585,55.7679,26.77,86,80,2.05,RE,1712857292
304,pacific grove,36.6177,-121.9166,22.99,80,0,4.02,US,1712857141
305,ta`u,-14.2336,-169.5144,28.4,81,17,4.18,AS,1712857293
306,turaif,31.6725,38.6637,19.14,32,40,3.09,SA,1712857294
307,saldanha,-33.0117,17.9442,23.03,64,2,5.52,ZA,1712857295
308,maceio,-9.6658,-35.7353,31.69,70,40,5.14,BR,1712857067
309,stiens,53.2623,5.7577,14.99,81,100,4.63,NL,1712857296
310,matsuto,36.5167,136.5667,11.85,82,75,1.03,JP,1712857297
311,mana,5.6592,-53.7767,29.09,71,62,4.73,GF,1712857297
312,buala,-8.145,159.5921,26.81,83,85,2.48,SB,1712857298
313,livingston,55.9029,-3.5226,15.67,72,20,10.8,GB,1712857150
314,sur,22.5667,59.5289,30.74,46,73,4.73,OM,1712857299
315,sao vicente,-23.9631,-46.3919,29.1,66,100,1.54,BR,1712857171
316,monrovia,6.3005,-10.7969,30.87,79,90,4.49,LR,1712857301
317,lebu,-37.6167,-73.65,15.05,59,0,2.97,CL,1712857302
318,dudinka,69.4058,86.1778,-25.77,100,60,3.09,RU,1712857302
319,luau,-10.7073,22.2247,21.14,87,87,0.62,AO,1712857304
320,coahuayana de hidalgo,18.7,-103.6583,31.26,40,0,3.53,MX,1712857305
321,fort mcmurray,56.7268,-111.381,10.77,43,20,5.66,CA,1712857015
322,susuman,62.7833,148.1667,-20.01,100,99,0.45,RU,1712857306
323,haiku-pauwela,20.9219,-156.3051,23.43,82,100,6.26,US,1712857307
324,volosovo,59.4333,29.4833,9.68,82,100,5.68,RU,1712857308
325,leer,53.2316,7.461,14.41,95,100,3.93,DE,1712857310
326,leh,34.1667,77.5833,-8.92,84,89,1.91,IN,1712857310
327,nova sintra,14.8667,-24.7167,22.86,73,6,6.42,CV,1712857313
328,looe,50.3578,-4.4542,13.86,95,98,5.5,GB,1712857314
329,prado,-17.3411,-39.2208,28.8,68,44,3.83,BR,1712857314
330,cuiaba,-15.5961,-56.0967,26.96,83,75,3.09,BR,1712857275
331,ust-tsilma,65.441,52.1498,1.45,99,100,7.6,RU,1712857316
332,kaga bandoro,6.9896,19.1874,33.65,30,90,1.73,CF,1712857316
333,formosa do rio preto,-11.0483,-45.1931,31.22,50,57,2.11,BR,1712857317
334,new norfolk,-42.7826,147.0587,10.72,85,92,1.31,AU,1712857060
335,honiara,-9.4333,159.95,25.93,89,93,1.58,SB,1712857318
336,loreto,22.2667,-101.9667,23.05,20,15,5.72,MX,1712857319
337,funafuti,-8.5243,179.1942,28.0,94,40,1.03,TV,1712857320
338,voi,-3.3945,38.563,25.76,80,75,3.39,KE,1712857320
339,galeana,24.8333,-100.0667,18.37,23,14,4.35,MX,1712857321
340,swan hill,-35.3378,143.5544,11.01,76,0,2.74,AU,1712857322
341,salalah,17.0151,54.0924,28.05,74,75,3.09,OM,1712857323
342,saint-martin-des-champs,48.5833,-3.8333,18.42,52,0,5.14,FR,1712857324
343,cockburn town,21.4612,-71.1419,25.32,73,10,7.32,TC,1712857056
344,serowe,-22.3833,26.7167,19.05,59,63,5.98,BW,1712857325
345,urumqi,43.801,87.6005,13.53,44,0,2.0,CN,1712857326
346,sonoita,31.85,-112.8333,27.7,11,0,2.01,MX,1712857327
347,votkinsk,57.0486,53.9872,13.75,79,100,8.83,RU,1712857328
348,riberalta,-10.9833,-66.1,32.11,66,75,3.09,BO,1712857328
349,glace bay,46.1969,-59.957,10.74,45,0,7.2,CA,1712857329
350,topolobampo,25.6,-109.05,24.95,33,75,0.0,MX,1712857330
351,basudebpur,21.1353,86.7386,29.12,40,95,1.6,IN,1712857331
352,borisoglebskiy,57.2586,39.1508,9.82,57,8,4.2,RU,1712857332
353,varna,43.2167,27.9167,16.85,77,0,1.54,BG,1712857332
354,cheney,47.4874,-117.5758,11.88,61,100,2.57,US,1712857165
355,codrington,-38.2667,141.9667,13.53,66,100,2.54,AU,1712857334
356,atafu village,-8.5421,-172.5159,29.2,74,51,2.2,TK,1712857334
357,queenstown,-31.8976,26.8753,7.23,69,0,1.7,ZA,1712857335
358,sydney mines,46.2367,-60.2177,10.86,42,0,7.2,CA,1712857336
359,port blair,11.6667,92.75,29.02,84,82,1.03,IN,1712857336
360,guarapari,-20.6667,-40.4975,29.38,72,15,2.84,BR,1712857136
361,valledupar,10.4631,-73.2532,35.83,38,20,5.14,CO,1712857338
362,vallenar,-28.5708,-70.7581,26.89,30,86,3.43,CL,1712857338
363,belomorsk,64.5232,34.7668,3.89,74,43,7.71,RU,1712857340
364,tazovsky,67.4667,78.7,-24.97,97,22,3.97,RU,1712857341
